Date,Beans,Nuwaraeliya Carrot,Cabbage,Tomato,Brinjal,Pumpkin - Big,Snake Gourd,Lime,Red Onion- Lanka,Red Onion Import,Potatoes - Nuwaraeliya,Potatoes - Import
3/21/2016,75,80,45,30,83,20,38,,60,53,88,
3/22/2016,,,,,,,,,,,,
3/23/2016,80,90,40,33,78,23,43,,55,53,90,
3/24/2016,90,95,53,33,80,23,43,,55,53,88,
3/25/2016,,,,,,,,,,,,
3/26/2016,,,,,,,,,,,,
3/27/2016,,,,,,,,,,,,
3/28/2016,100,125,80,40,85,20,43,,60,53,88,
3/29/2016,110,120,90,43,90,20,45,,60,53,88,
3/30/2016,95,105,78,43,90,20,53,,58,53,95,
3/31/2016,55,105,75,30,60,18,40,,55,53,93,
4/1/2016,48,100,73,25,55,23,38,,60,53,95,
4/2/2016,,,,,,,,,,,,
4/3/2016,,,,,,,,,,,,
4/4/2016,60,95,53,30,38,20,40,,58,,93,
4/5/2016,58,100,60,35,48,18,43,,58,,88,
4/6/2016,55,95,60,35,50,14,45,,58,,93,
4/7/2016,55,85,45,33,50,14,43,,60,,93,
4/8/2016,60,88,53,38,55,13,45,,75,,98,
4/9/2016,,,,,,,,,,,,
4/10/2016,,,,,,,,,,,,
4/11/2016,125,90,50,105,70,15,53,,60,60,103,
4/12/2016,115,95,50,100,85,23,45,,65,63,103,
4/13/2016,,,,,,,,,,,,
4/14/2016,,,,,,,,,,,,
4/15/2016,,,,,,,,,,,,
4/16/2016,,,,,,,,,,,,
4/17/2016,,,,,,,,,,,,
4/18/2016,,,,,,,,,,,,
4/19/2016,70,85,65,35,28,19,25,,65,63,95,
4/20/2016,43,85,45,30,23,18,35,,65,63,98,
4/21/2016,,,,,,,,,,,,
4/22/2016,83,70,50,58,23,20,43,,65,63,88,
4/23/2016,,,,,,,,,,,,
4/24/2016,,,,,,,,,,,,
4/25/2016,125,90,50,115,30,22,50,,65,68,98,
4/26/2016,135,88,48,120,33,20,43,,90,73,93,
4/27/2016,120,78,40,120,28,20,63,,110,73,95,
4/28/2016,135,83,48,120,30,18,45,,90,93,93,
4/29/2016,120,80,55,110,38,18,50,,63,75,98,
4/30/2016,,,,,,,,,,,,
5/1/2016,,,,,,,,,,,,
5/2/2016,,,,,,,,,,,,
